primaryTitle,startYear,runtimeMinutes
The Wash,2001.0,96.0
Dog Days,2001.0,121.0
Behind the Sun,2001.0,105.0
Mean Machine,2001.0,99.0
Millennium Actress,2001.0,87.0
Nayak: The Real Hero,2001.0,187.0
Dil Chahta Hai,2001.0,183.0
Son of the Bride,2001.0,123.0
Metropolis,2001.0,108.0
My Sassy Girl,2001.0,137.0
Ichi the Killer,2001.0,129.0
All About Lily Chou-Chou,2001.0,146.0
Rehnaa Hai Terre Dil Mein,2001.0,160.0
Winged Migration,2001.0,98.0
The Happiness of the Katakuris,2001.0,113.0
The Lost Skeleton of Cadavra,2001.0,90.0
Murder on a Sunday Morning,2001.0,111.0
Bad Guy,2001.0,100.0
Friends,2001.0,167.0
Jesus Christ Vampire Hunter,2001.0,85.0
Nuvvu Naaku Nachchav,2001.0,184.0
Suicide Club,2001.0,99.0
The Dancer Upstairs,2002.0,132.0
Frida,2002.0,123.0
Resident Evil,2002.0,100.0
Men in Black II,2002.0,88.0
Star Wars: Episode II - Attack of the Clones,2002.0,142.0
Treasure Planet,2002.0,95.0
Spider-Man,2002.0,121.0
Naqoyqatsi,2002.0,89.0
Clockstoppers,2002.0,94.0
Eye See You,2002.0,96.0
City of Ghosts,2002.0,116.0
The Sum of All Fears,2002.0,124.0
Highway,2002.0,97.0
Interstate 60,2002.0,116.0
Spirit: Stallion of the Cimarron,2002.0,83.0
The Lord of the Rings: The Two Towers,2002.0,179.0
Antwone Fisher,2002.0,120.0
Moonlight Mile,2002.0,117.0
The Adventures of Pluto Nash,2002.0,95.0
Minority Report,2002.0,145.0
Phone Booth,2002.0,81.0
She Gets What She Wants,2002.0,92.0
Blade II,2002.0,117.0
The Third Wheel,2002.0,91.0
Ken Park,2002.0,93.0
Gangs of New York,2002.0,167.0
Buying the Cow,2002.0,88.0
Waking Up in Reno,2002.0,91.0
Halloween: Resurrection,2002.0,90.0
Hum Tumhare Hain Sanam,2002.0,174.0
Deuces Wild,2002.0,96.0
Collateral Damage,2002.0,108.0
The Salton Sea,2002.0,103.0
Equilibrium,2002.0,107.0
Queen of the Damned,2002.0,101.0
The Dangerous Lives of Altar Boys,2002.0,104.0
Devdas,2002.0,185.0
Kung Pow: Enter the Fist,2002.0,81.0
The Four Feathers,2002.0,132.0
Slackers,2002.0,86.0
The New Guy,2002.0,88.0
Stuart Little 2,2002.0,77.0
40 Days and 40 Nights,2002.0,96.0
Windtalkers,2002.0,134.0
The Count of Monte Cristo,2002.0,131.0
Die Another Day,2002.0,133.0
Big Trouble,2002.0,85.0
Dummy,2002.0,91.0
Heaven,2002.0,97.0
Old Men in New Cars: In China They Eat Dogs II,2002.0,95.0
Rollerball,2002.0,98.0
Juwanna Mann,2002.0,91.0
Asterix & Obelix: Mission Cleopatra,2002.0,107.0
Killing Me Softly,2002.0,100.0
Unfaithful,2002.0,124.0
Hart's War,2002.0,125.0
John Q,2002.0,116.0
Long Time Dead,2002.0,94.0
Maid in Manhattan,2002.0,105.0
Rabbit-Proof Fence,2002.0,94.0
