primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,Production Budget,Worldwide Gross
Kiss of the Dragon,2001,98,6.6,66247,Chris Nahon,25000000,36833473
The Last Castle,2001,131,6.9,84639,Rod Lurie,60000000,20541668
K-PAX,2001,120,7.4,191993,Iain Softley,48000000,64978140
Max Keeble's Big Move,2001,86,5.4,8628,Tim Hill,12000000,17292381
I Am Sam,2001,132,7.6,154579,Jessie Nelson,22000000,92542418
Not Another Teen Movie,2001,89,5.8,114513,Joel Gallen,15000000,62401343
How High,2001,93,6.2,61390,Jesse Dylan,12000000,31222395
Joe Somebody,2001,98,5.5,11047,John Pasquin,38000000,24515990
Gosford Park,2001,137,7.2,93126,Robert Altman,18000000,58271886
Iris,2001,91,7,19045,Richard Eyre,5500000,5692941
No Man's Land,2001,98,7.9,48590,Danis Tanovic,1000000,2684207
Monster's Ball,2001,111,7.1,93511,Marc Forster,4000000,43766463
The Wash,2001,96,4.8,7595,DJ Pooh,4000000,10097096
Frida,2002,123,7.3,94619,Julie Taymor,12000000,56131239
Resident Evil,2002,100,6.6,285634,Paul W.S. Anderson,35000000,103787401
Treasure Planet,2002,95,7.2,131192,"John Musker, Ron Clements",100000000,91800000
Spider-Man,2002,121,7.4,869249,Sam Raimi,139000000,821706375
Clockstoppers,2002,94,5.2,15034,Jonathan Frakes,26000000,38788828
Eye See You,2002,96,5.3,29213,Jim Gillespie,55000000,1807990
The Sum of All Fears,2002,124,6.4,123667,Phil Alden Robinson,68000000,193500000
Spirit: Stallion of the Cimarron,2002,83,7.2,84212,"Kelly Asbury, Lorna Cook",80000000,106515310
The Lord of the Rings: The Two Towers,2002,179,8.8,1762594,Peter Jackson,94000000,919148764
Antwone Fisher,2002,120,7.3,38128,Denzel Washington,12500000,23367586
Moonlight Mile,2002,117,6.6,14608,Brad Silberling,21000000,6830957
The Adventures of Pluto Nash,2002,95,3.9,26863,Ron Underwood,100000000,7094995
Minority Report,2002,145,7.6,579525,Steven Spielberg,102000000,358824714
Gangs of New York,2002,167,7.5,468963,Martin Scorsese,97000000,183124621
Halloween: Resurrection,2002,90,3.9,48828,Rick Rosenthal,15000000,37659652
Deuces Wild,2002,96,5.6,7792,Scott Kalvert,10000000,6244618
Collateral Damage,2002,108,5.5,77641,Andrew Davis,85000000,78353508
