primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,ProductionBudget,WorldwideGross
Black Knight,2001,95,4.9,41813,Gil Junger,35000000,33422806
Recess: School's Out,2001,82,6.5,11077,Chuck Sheetz,10000000,44451470
The Royal Tenenbaums,2001,110,7.6,298971,Wes Anderson,28000000,71430876
Rush Hour 2,2001,90,6.6,226483,Brett Ratner,90000000,347425832
Spy Game,2001,126,7,160236,Tony Scott,90000000,143049560
The One,2001,87,5.9,93605,James Wong,49000000,72689126
Jimmy Neutron: Boy Genius,2001,82,6,36019,John A. Davis,25000000,102992536
A Beautiful Mind,2001,135,8.2,944913,Ron Howard,78000000,317668058
The Majestic,2001,152,6.9,55800,Frank Darabont,72000000,37306334
Two Can Play That Game,2001,90,6,7078,Mark Brown,13000000,22391450
Kiss of the Dragon,2001,98,6.6,64908,Chris Nahon,25000000,36833473
The Last Castle,2001,131,6.9,82346,Rod Lurie,60000000,20541668
K-PAX,2001,120,7.4,187210,Iain Softley,48000000,64978140
Max Keeble's Big Move,2001,86,5.4,8359,Tim Hill,12000000,17292381
I Am Sam,2001,132,7.6,151970,Jessie Nelson,22000000,92542418
Not Another Teen Movie,2001,89,5.7,108859,Joel Gallen,15000000,62401343
How High,2001,93,6.2,59701,Jesse Dylan,12000000,31222395
Joe Somebody,2001,98,5.5,10792,John Pasquin,38000000,24515990
Gosford Park,2001,137,7.2,90120,Robert Altman,18000000,58271886
Iris,2001,91,7,18647,Richard Eyre,5500000,5692941
No Man's Land,2001,98,7.9,47781,Danis Tanovic,1000000,2684207
Monster's Ball,2001,111,7.1,91218,Marc Forster,4000000,43766463
The Wash,2001,96,4.7,7376,DJ Pooh,4000000,10097096
Frida,2002,123,7.3,91899,Julie Taymor,12000000,56131239
Resident Evil,2002,100,6.6,276839,Paul W.S. Anderson,35000000,103787401
Treasure Planet,2002,95,7.2,123534,"Ron Clements, John Musker",100000000,91800000
Spider-Man,2002,121,7.4,831800,Sam Raimi,139000000,821706375
Clockstoppers,2002,94,5.2,14668,Jonathan Frakes,26000000,38788828
Eye See You,2002,96,5.3,28389,Jim Gillespie,55000000,1807990
The Sum of All Fears,2002,124,6.4,119700,Phil Alden Robinson,68000000,193500000
Spirit: Stallion of the Cimarron,2002,83,7.2,79470,"Kelly Asbury, Lorna Cook",80000000,106515310
The Lord of the Rings: The Two Towers,2002,179,8.8,1691584,Peter Jackson,94000000,919148764
Antwone Fisher,2002,120,7.3,36811,Denzel Washington,12500000,23367586
Moonlight Mile,2002,117,6.6,14360,Brad Silberling,21000000,6830957
The Adventures of Pluto Nash,2002,95,3.8,26361,Ron Underwood,100000000,7094995
Minority Report,2002,145,7.6,562204,Steven Spielberg,102000000,358824714
Gangs of New York,2002,167,7.5,451375,Martin Scorsese,97000000,183124621
Halloween: Resurrection,2002,90,3.9,46526,Rick Rosenthal,15000000,37659652
Deuces Wild,2002,96,5.6,7626,Scott Kalvert,10000000,6244618
Collateral Damage,2002,108,5.5,76226,Andrew Davis,85000000,78353508
The Salton Sea,2002,103,7,31374,D.J. Caruso,18000000,676698
Equilibrium,2002,107,7.3,336785,Kurt Wimmer,20000000,5345869
Queen of the Damned,2002,101,5.2,57585,Michael Rymer,35000000,30307804
