tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes,directors,writers,Production Budget,Worldwide Gross
tt0101452,Bill & Ted's Bogus Journey,1991,93,6.3,77925,Peter Hewitt,"Chris Matheson, Ed Solomon",20000000,37540012
tt0101507,Boyz n the Hood,1991,112,7.8,144968,John Singleton,John Singleton,6500000,56215095
tt0101540,Cape Fear,1991,128,7.3,202112,Martin Scorsese,"John D. MacDonald, James R. Webb, Wesley Strick",35000000,182291969
tt0101761,The Doors,1991,140,7.2,95087,Oliver Stone,"Randall Jahnson, Oliver Stone",40000000,34469241
tt0101764,Double Impact,1991,110,5.6,42058,Sheldon Lettich,"Sheldon Lettich, Jean-Claude Van Damme, Steve Meerson, Peter Krikes",16000000,29090445
tt0101889,The Fisher King,1991,137,7.5,87494,Terry Gilliam,Richard LaGravenese,24000000,41798224
tt0101921,Fried Green Tomatoes,1991,130,7.7,77301,Jon Avnet,"Fannie Flagg, Carol Sobieski",11000000,81204830
tt0102005,Harley Davidson and the Marlboro Man,1991,98,6.1,21158,Simon Wincer,Don Michael Paul,23000000,7018525
tt0102057,Hook,1991,142,6.8,260861,Steven Spielberg,"J.M. Barrie, James V. Hart, Nick Castle, Malia Scotch Marmo",70000000,300854823
tt0102065,House Party 2,1991,94,5.3,6849,"George Jackson, Doug McHenry","Reginald Hudlin, Rusty Cundieff, Daryl G. Nickens",5000000,19438638
tt0102070,Hudson Hawk,1991,100,5.7,57856,Michael Lehmann,"Bruce Willis, Robert Kraft, Steven E. de Souza, Daniel Waters",65000000,17218916
tt0102138,JFK,1991,189,8,160798,Oliver Stone,"Jim Garrison, Jim Marrs, Oliver Stone, Zachary Sklar",40000000,205400000
tt0102492,My Girl,1991,102,6.9,83968,Howard Zieff,Laurice Elehwany,16500000,58011485
tt0102494,My Own Private Idaho,1991,104,7,58501,Gus Van Sant,"Gus Van Sant, William Shakespeare",2500000,6402775
tt0102510,The Naked Gun 2½: The Smell of Fear,1991,85,6.9,116547,David Zucker,"Jim Abrahams, David Zucker, Jerry Zucker, Pat Proft",23000000,86930411
tt0102685,Point Break,1991,122,7.2,189400,Kathryn Bigelow,"Rick King, W. Peter Iliff",24000000,83531958
tt0102713,The Prince of Tides,1991,132,6.8,18719,Barbra Streisand,"Pat Conroy, Becky Johnston",30000000,74787599
tt0102782,Return to the Blue Lagoon,1991,102,5.1,20633,William A. Graham,"Henry De Vere Stacpoole, Leslie Stevens",11000000,2000000
tt0102798,Robin Hood: Prince of Thieves,1991,143,6.9,199018,Kevin Reynolds,"Pen Densham, John Watson",50000000,390500000
tt0102915,Showdown in Little Tokyo,1991,79,6.1,19751,Mark L. Lester,"Stephen Glantz, Caliope Brattlestreet",8000000,2275557
tt0102926,The Silence of the Lambs,1991,118,8.6,1456110,Jonathan Demme,"Thomas Harris, Ted Tally",20000000,275726716
tt0102975,Star Trek VI: The Undiscovered Country,1991,110,7.2,77722,Nicholas Meyer,"Gene Roddenberry, Leonard Nimoy, Lawrence Konner, Mark Rosenthal, Nicholas Meyer, Denny Martin Flinn",27000000,96900000
tt0102984,Stone Cold,1991,92,6,9271,Craig R. Baxley,Walter Doniger,25000000,9286314
tt0103064,Terminator 2: Judgment Day,1991,137,8.6,1115373,James Cameron,"James Cameron, William Wisher",100000000,515376182
tt0103247,White Fang,1991,107,6.7,21549,Randal Kleiser,"Jack London, Jeanne Rosenberg, Nick Thiel, David Fallon",14000000,34729091
tt0104567,Johnny Suede,1991,97,5.8,4290,Tom DiCillo,Tom DiCillo,500000,55000
tt0102307,Light Sleeper,1992,103,6.9,8503,Paul Schrader,Paul Schrader,5000000,1050861
tt0102443,A Midnight Clear,1992,108,7.1,9299,Keith Gordon,"William Wharton, Keith Gordon",5000000,1526697
tt0103639,Aladdin,1992,90,8,431735,"Ron Clements, John Musker","Ron Clements, John Musker, Ted Elliott, Terry Rossio, Burny Mattinson, Roger Allers, nm0423161, nm0363125, nm0629734, Francis Glebas, Darrell Rooney, Larry Leker, nm0969162, nm0361315, Kevin Lima, nm0715949, nm1061362, Chris Sanders, Brian Pimental, nm0893358",28000000,504050219
tt0103776,Batman Returns,1992,126,7.1,311783,Tim Burton,"Bob Kane, Daniel Waters, Sam Hamm",80000000,266824291
tt0103855,The Bodyguard,1992,129,6.3,139886,Mick Jackson,Lawrence Kasdan,25000000,411006740
